,train_index,train_sentence,kendra_sentence,train_label
26,snips-train-1002,Add Stephanie Biddle to my Digster Reggae playlist,ADD STUPHANY BIDDLE TO MY DIGSTER RUGGE PLAYALIST,AddToPlaylist
27,snips-train-10020,Find a saga called Lovex discography .,FIND A SAGO CALLED LOVEX DYSCOGRAPHY,SearchCreativeWork
28,snips-train-10021,Search for Police Women of Cincinnati,SEARCH FOR POLICE WOMEN OF SINSONNATI,SearchCreativeWork
29,snips-train-10022,What is the Paranormal Activity Ghost Dimension album ?,WHAT IS THE PARONORMAL ACTIVITY GHOST DIMENSION ALBUM,SearchCreativeWork
30,snips-train-10023,Find The Transformers Generations video game,FIND THE TRANSFORMERS GENERATIONS VIDIO GAME,SearchCreativeWork
31,snips-train-10024,find a painting called The Wipers Times,FIND A PAINTING CALLED THE WIPERS TIMES,SearchCreativeWork
32,snips-train-10025,Find The Black Girl in Search of God trailer,FIND THE BLACK GIRL IN SEARCH OF GOD DRILLER,SearchCreativeWork
33,snips-train-10026,When was the album Start a Fire released?,WHEN WAS THE ALBUM START A FIRE RELEASED,SearchCreativeWork
34,snips-train-10027,How do I watch the television show Counting the Rosaries ?,HOW DO I WATCH THE TELEVISION SHOW COUNTING THE ROSARIES,SearchCreativeWork
35,snips-train-10028,Please help me search the TV series A Mouse Divided .,PLEASE HELP ME SEARCH THE T V CERES A MOUSE DIVIDED,SearchCreativeWork
36,snips-train-10029,show creativity of Sing to the Dawn,SHOW CREATIVITY OF SING THE DAWN,SearchCreativeWork
37,snips-train-1003,I want you to put this track onto the playlist called throwback party .,I WANT YOU TO PUT THIS TRACK ON TO THE PLAYALIST COLD THROWBACK PARTY,AddToPlaylist
38,snips-train-10030,Find a video game called Merry Andrew .,FIND OF IDIO GAME CALLED MARY ANDREW,SearchCreativeWork
39,snips-train-10031,Is Salò the TV show available to watch anywhere?,IS SOLLO THE T V SHOW AVAILABLE TO WATCH ANYWHERE,SearchCreativeWork
40,snips-train-10032,TV series for The Thirty Nine Steps ?,T V CERIES FOR THE THIRTY NINE STEPS,SearchCreativeWork
41,snips-train-10033,Play The Great Adventures of Slick Rick game,PLAY THE GREAT ADVENTURES OF SLICK RICK GAME,SearchCreativeWork
42,snips-train-10034,play the movie White Christmas,PLAY THE MOVI WHITE CHRISTMAS,SearchCreativeWork
43,snips-train-10035,"find Blood Moon Year of the Wolf , a movie",FIND BLOOD MOON YEAR OF THE WOOLF AMUVI,SearchCreativeWork
44,snips-train-10036,Can you find My Island Home TV series ?,CAN YOU FIND MY ISLAND HOME T V CERES,SearchCreativeWork
45,snips-train-10037,find the song titled The Mole Show Live at the Roxy,FIND THE SONG TITLE THE MOLE SHOW LIVE AT THE ROCKSY,SearchCreativeWork
46,snips-train-10038,Show me the Sex Therapy painting,SHOW ME THE SEX THERE A PE PAINTING,SearchCreativeWork
47,snips-train-10039,"I'd like to watch episodes from the TV series , The Secret of Queen Anne or Musketeers Thirty Years After .",I'D LIKE TO WATCH EPISODES FROM THE T V CERES THE SECRET OF QUEEN ANN OR MUSKETEERS THIRTY YEARS AFTER,SearchCreativeWork
48,snips-train-1004,add Puzzles Like You in my playlist Reggae,ADD PUZZLES LIKE YOU IN MY PLAYALIST RAGET,AddToPlaylist
49,snips-train-10040,How do I find the soundtrack African Development Perspectives Yearbook ?,HOW DO I FIND THE SOUND TRACK AFRICAN DEVELOPMENT PERSPECTIVES YEAR BOOK,SearchCreativeWork
50,snips-train-10041,show me the picture Unfinished Monkey Business,SHOW ME THE PICTURE UNFINISHED MONKEY BUSINESS,SearchCreativeWork
51,snips-train-10042,find Time Squared,FINE TIME SQUARED,SearchCreativeWork
52,snips-train-10043,find The World Is a Game,FIND THE WORLD IS A GAME,SearchCreativeWork
53,snips-train-10044,Show me a television show named A Love to Hide .,SHOW ME A TELAVISION SHOW NAME DA LOVE TO HIDE,SearchCreativeWork
54,snips-train-10045,Find The American Journal of Economics and Sociology .,FIND THE AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY,SearchCreativeWork
55,snips-train-10046,I want to watch the TV series Rat Pack,I WANT TO WATCH THE TE V SERIES RAT PACK,SearchCreativeWork
56,snips-train-10047,Find Phalcon .,FIND FALKIN,SearchCreativeWork
57,snips-train-10048,find Valley of the Dolls,FINE VALLEY OF THE DOLLS,SearchCreativeWork
58,snips-train-10049,Find Later That Evening,FIND LATER THAT EVENING,SearchCreativeWork
59,snips-train-1005,Add Step to Me to the 50 Clásicos playlist.,ADD STEP TO ME TO THE FIFTY CLAUSY COSPLAOLIST,AddToPlaylist
60,snips-train-10050,I'm looking for the song called Standing for Something .,IAM LOOKING FOR THE SOG CALLED STANDING FOR SOMETHING,SearchCreativeWork
61,snips-train-10051,show creativity of Comeback Season,SHOW CREATIVITY OF COMBACT SEASON,SearchCreativeWork
62,snips-train-10052,"find Wild Solutions , a saga",FINE WILD SOLUTIONS OSAGA,SearchCreativeWork
63,snips-train-10053,Can i see the Boat People ?,CAN I SEE THE BOAT PEOPLE,SearchCreativeWork
64,snips-train-10054,Find The Crucible of Man Something Wicked Part 2 .,FIND THE CRUCIBLE OF MAN SOMETHING WICKED PART TOO,SearchCreativeWork
65,snips-train-10055,Find The Passion of Michel Foucault novel,FIND THE PASSION OF MICHEL FUCO NOVEL,SearchCreativeWork
66,snips-train-10056,How can I view the show Corpus A Home Movie About Selena ?,HOW CAN I VIEW THE SHOW CORPUS O HOME MOVI ABOUT SELENA,SearchCreativeWork
67,snips-train-10057,Where can I find the album The Adventures of Lolo II,WHERE CAN I FIND THE ALBUM THE ADVENTURES OF LOL TOO,SearchCreativeWork
68,snips-train-10058,I want to see Everytime We Touch which is a painting,I WANT TO SEE EVERY TIME WE TOUCH WHICH IS A PAINTING,SearchCreativeWork
69,snips-train-10059,play the TV show Iron Seed,PLAY THE TE V SHOW IRON SEED,SearchCreativeWork
70,snips-train-1006,add one and only to my once upon a time playlist,ADD ONE AND ONLY TO MY ONCE UPON A TIME PLAOLIST,AddToPlaylist
71,snips-train-10060,play Another Time,PLAY ANOTHER TIME,SearchCreativeWork
72,snips-train-10061,Find the Exile and the Kingdom,FIND THE EXILE AND THE KINGDOM,SearchCreativeWork
73,snips-train-10062,Where can I find a photograph of The Lieutenant of Inishmore ?,WHERE CAN I FIND A PHOTOGRAPH OF THE LIEUTENANT OF ENGISH MOOR,SearchCreativeWork
74,snips-train-10063,Find a trailer called Just Say Noël .,FIND A TRAILER CALLED JUST SA NO,SearchCreativeWork
75,snips-train-10064,Hook me up with a song by Dancing Girl .,HOOK ME UP WITH A SONG BY DANCING GIRL,SearchCreativeWork
76,snips-train-10065,find the Carrousel saga,FIND THE CARASEL SAGA,SearchCreativeWork
77,snips-train-10066,Do an image search for the picture Perfect Storm Disasters That Changed The World,DO AN IMAGE SEARCH FOR THE PICTURE PERFECT STORM DISASTERS THAT CHANGE THE WORLD,SearchCreativeWork
78,snips-train-10067,Search for the video game The Book of Heroic Failures,SEARCH FOR THE VIDIO GAM THE BOOK OF HEROIC FAILURES,SearchCreativeWork
79,snips-train-10068,Where can I see the trailer of Take Me to the King,WHERE CAN I SEE THE TRAILER OF TAKE ME TO THE KING,SearchCreativeWork
80,snips-train-10069,Find a saga called Story of My Life .,FIND A SOGACALED STORY OF MY LIFE,SearchCreativeWork
81,snips-train-1007,Add this track to epic wall of sound,ADD THIS TRACK TO EPICH WELL OF SOUND,AddToPlaylist
82,snips-train-10070,find a soundtrack for Dante’s Peak,FIND A SOUND TRACK FOR DANTE'S PEAK,SearchCreativeWork
83,snips-train-10071,find a TV show called Randy Scouse Git,FIND A TE V SHOW CALLED RONDY SCOUSIT,SearchCreativeWork
84,snips-train-10072,Find A World Apart .,FIND A WORLD APART,SearchCreativeWork
85,snips-train-10073,Find a novel called Twins of Evil .,FIND A NOVEL COLD TWINS OF EVIL,SearchCreativeWork
86,snips-train-10074,How can I see the TV series Mothstorm ?,HOW CAN I SEE THE TE V CERIES MOTHS TORM,SearchCreativeWork
87,snips-train-10075,Where can I see the show Kind of Glue ?,WHERE CAN I SEE THE SHOW KIND OF GLUE,SearchCreativeWork
88,snips-train-10076,Is it possible to find the book Live in Europe online?,IS IT POSSIBLE TO FIND THE BULKLIVE IN EUROPE ON LINE,SearchCreativeWork
89,snips-train-10077,Can you find the novel Stoneage Romeos,CAN YOU FIND THE NOVEL STONE ADROMEOS,SearchCreativeWork
90,snips-train-10078,Play the Knockabout soundtrack,PLAYED THE KNOCK ABOUT SOUND TRACK,SearchCreativeWork
91,snips-train-10079,show me a picture of Nokia Football Crazy,SHOW ME A PICTURE OF NOCHIA FOOTBALL CRAZY,SearchCreativeWork
92,snips-train-1008,Add Sam Moran music to my tgif playlist,AD SAMMURAN MUSIC TO MY T G I F PLAYOLIST,AddToPlaylist
93,snips-train-10080,Where can I download the game Miss Robin Hood,WHERE CAN I DOWNLOAD THE GAME MISROBIN HOOD,SearchCreativeWork
94,snips-train-10081,find the trailer Platinum In Da Ghetto,FIND THE DRILER PLATINUM INDIGETO,SearchCreativeWork
95,snips-train-10082,I want the movie Perseo Miranda and his Theatre,I WANT THE MOVI PERSEO MIRANDA AND HIS THEATRE,SearchCreativeWork
96,snips-train-10083,I need the book titled Lullaby of Broadway,I NEED THE BOOK TITLED LELLIBY OF BROAD WAY,SearchCreativeWork
97,snips-train-10084,"Where can I see the television show , Jimmy Two-Shoes ?",WHERE CAN I SEE THE TELEVISION SHOW JIMMY TWO SHOES,SearchCreativeWork
98,snips-train-10085,Find a photograph called Cold Weather .,FIND A PHOTOGRAPH CALLED COLD WEATHER,SearchCreativeWork
99,snips-train-10086,"find Long Walk to Forever , a novel",FIND LONG WALK TO FOREVER A NOVEL,SearchCreativeWork
100,snips-train-10087,Find Head Start,FIND HEAD START,SearchCreativeWork
101,snips-train-10088,Show me the novel All I Need to Know,SHOW ME THE NOVEL ALL I NEED TO KNOW,SearchCreativeWork
102,snips-train-10089,Can I see the the TV series The Late Music ?,CAN I SEE THE THE TEV SERIES THE LATE  MUSIC,SearchCreativeWork
103,snips-train-1009,add this album by Bruce Dickinson onto top entrevistas my playlist,ADD THIS ALBUM BY BRUCE STICKINSON ON TO TOP AND DRAVIES TO SMY PLAY ALEST,AddToPlaylist
104,snips-train-10090,I'd like to see Jack,I'D LIKE TO SEE JACK,SearchCreativeWork
105,snips-train-10091,Find The Madwoman in the Attic .,FIND THE MADWOMAN IN THE AREC,SearchCreativeWork
106,snips-train-10092,Where can I see the show Latin for Lovers ?,WHERE CAN I SEE THE SHOLATIN FOR LOVERS,SearchCreativeWork
107,snips-train-10093,What is Marty Stuart discography,WHAT IS MARTY STUART DISCOGRAPHY,SearchCreativeWork
108,snips-train-10094,Search for the Halfway Home TV show,SEARCH FFOR THE HALF WAY HOME T V SHOW,SearchCreativeWork
109,snips-train-10095,play The Nubians of Plutonia trailer,PLAY THE NUBIANS OF PLUTONIA TRAELER,SearchCreativeWork
110,snips-train-10096,Look up the game called The Long Morrow,LOOK UP THE GAME CALLED THE LONG MORROW,SearchCreativeWork
111,snips-train-10097,find the soundtrack titled This Side of Paradise,FIND THE SOUND TRACK TITLED THIS SIDE OF PARADISE,SearchCreativeWork
112,snips-train-10098,Show Panic in the Streets,CHOPANAC IN THE STREETS,SearchCreativeWork
113,snips-train-10099,Find Make Your Play,FIND MAKE YOUR PLAY,SearchCreativeWork
114,snips-train-101,Add to my verano list a song by andy lee,ADD TO MY VERANO LIST TO SONG BY ANBI LEE,AddToPlaylist
115,snips-train-1010,edit Top 100 Indie Tracks on Spotify playlist by adding Smokefree RockQuest 2005,AT IT TOP ONE HUNDRED INDY TRACTS ON SPODOFY PLAYALIST BY ADDING SMOKE FREE ROCK QUEST TWO THOUSAND FIVE,AddToPlaylist
116,snips-train-10100,Play The Aviation Cocktail album,PLAY THE AVIATION COCKTAIL ALBUM,SearchCreativeWork
117,snips-train-10101,Play me the trailer for Star Control .,CLAME THE TRAILER FOR STAR CONTROL,SearchCreativeWork
118,snips-train-10102,Find a soundtrack called New Religion .,FIND A SOUND TRACK CALLED NEW RELIGION,SearchCreativeWork
119,snips-train-10103,find the show CarniK Con,FIND THE SHOWCARNAC KON,SearchCreativeWork
120,snips-train-10104,What is the TV series in App Store,WHAT IS THE TEV SERIES AN AP STOR,SearchCreativeWork
121,snips-train-10105,I'm trying to find the show Chant II,I'M TRYING TO FIND THE SHOWCHINT TOO,SearchCreativeWork
122,snips-train-10106,Look for Global Clubbing The Netherlands .,LOOK FOR GLOBAL CLOBBING THE NETHERLANDS,SearchCreativeWork
123,snips-train-10107,"find Trauma Center New Blood , an album",FINE TROMIS END HER NEW BLOOD AN ALBUM,SearchCreativeWork
124,snips-train-10108,When is the next episode of the TV series Crossing Lines showing?,WHEN IS THE NEXT EPISODE OF THE TEVI SERIES CROSSING LINES SHOWING,SearchCreativeWork
125,snips-train-10109,find Unfinished portrait of General Bonaparte,FIND UNFINISHED PORTRAIT OF GENERAL BONE APART,SearchCreativeWork
126,snips-train-1011,add nour mhanna to workday lounge,AD NORMHANNA TO WORKDAY LOUNGE,AddToPlaylist
127,snips-train-10110,How to get saga Stronda Style,HOW TO GET SOGGISH STRONDISTILE,SearchCreativeWork
128,snips-train-10111,Could I download Chavez Inside the Coup ?,COULD I DOWNLOAD OVE AS INSIDE THE COO,SearchCreativeWork
129,snips-train-10112,Find a TV show called Directions Home .,FIND A TEV SHOW CALLED DIRECTIONS HOME,SearchCreativeWork
130,snips-train-10113,Where can I find Richard the Lionheart Rebellion ?,WHERE CAN I FIND RICHARD THE LION HEART REBELLION,SearchCreativeWork
131,snips-train-10114,I'd like to find the book called The Years,I'D LIKE TO FIND THE BOOK CALLED THE YEARS,SearchCreativeWork
132,snips-train-10115,show creativity of Diamonds in the Rough,SHOW CREATIVITY OF DIAMONDS IN THE RATH,SearchCreativeWork
133,snips-train-10116,find information about the album Flipper City,FIND INFORMATION ABOUT THE ALBUM FLIPPER CITY,SearchCreativeWork
134,snips-train-10117,Where can I find the soundtrack for Steamboat Bill ?,WHERE CAN I FIND THE SOUND TRACK FOR STEAMBOAT BILL,SearchCreativeWork
135,snips-train-10118,"find Playground , a book",FINE PLAYGROUND A BOOK,SearchCreativeWork
136,snips-train-10119,find me a game called Merle Haggard Presents His 30th Album,FIND ME A GAME CALLED MERL HAGGARD PRESENTS HIS THIRTIETH ALBUM,SearchCreativeWork
137,snips-train-1012,Add this artist to piano chill,ADD THIS ARTIST TO PIANO CHIL,AddToPlaylist
138,snips-train-10120,Where is the TV show Am Universum,WHERE IS THE T V SHOW ALMUNY VERSAM,SearchCreativeWork
139,snips-train-10121,book of Two for the Road,BOOK OF TWO FOR THE ROAD,SearchCreativeWork
140,snips-train-10122,look for the creative work The Testament of Gideon Mack,LOOK FOR THE CREATIVE WORK THE TESTAMENT OF GIDEON MAC,SearchCreativeWork
141,snips-train-10123,find the photograph The Air Is on Fire Soundscape,FIND THE PHOTOGRAPH THE AIRIS ON FIRE SOUND SCAPE,SearchCreativeWork
142,snips-train-10124,Want a work called Walk the River,WATERWORK CALED WALK THE RIVER,SearchCreativeWork
143,snips-train-10125,I want to watch the TV show Official Detective,I WANT TO WATCH THE T V SHOW OFFICIAL DETECTIVE,SearchCreativeWork
144,snips-train-10126,find the album Biology Today An Issues Approach,FIND THE ALBUM BIOLOGY TO DAY AN ISSUE'S APPROACH,SearchCreativeWork
145,snips-train-10127,Find a painting called Thunder in the Sky .,FIND A PAINTING COLD THUNDER IN THE SKY,SearchCreativeWork
146,snips-train-10128,Look for the Itv.com song,LOOK FOR THE I TE VE COME SONG,SearchCreativeWork
147,snips-train-10129,find the television show Birth of the Cool,FIND THE TELEVISION SHOW BIRTH OF THE COOL,SearchCreativeWork
148,snips-train-1013,put this tune on my playlist technical&brutal death metal,PUT TTHIS TUNE ON MY PLAYLISS TECHNICAL AND BRUTAL DEATH METAL,AddToPlaylist
149,snips-train-10130,find the TV series Treeful of Starling,FIND THE TEVI SERIOUS DREEFUL OF STARLING,SearchCreativeWork
150,snips-train-10131,find a painting called Songs from Tsongas,FIND O PAINTING COLD SONGS FROM SONGAS,SearchCreativeWork
151,snips-train-10132,Where can I view the picture of Workin’ with the Miles Davis Quintet,WHERE CAN I VIEW THE PICTURE OF WORKIN WITH THE MILES DAVIS QUINTETE,SearchCreativeWork
152,snips-train-10133,Show me the Landing at Low Tide painting,SHOW ME THE LANDING AT LOW TIDE PAINTING,SearchCreativeWork
153,snips-train-10134,Find a photograph called Call on Me .,FIND A PHOTOGRAPH CALLED CALL ON ME,SearchCreativeWork
154,snips-train-10135,Please look up The Immortals television show .,PLEASE LOOK UP THE IMMORTAL'S TELEVISION SHOW,SearchCreativeWork
155,snips-train-10136,Where can I see the movie Across the Line The Exodus of Charlie Wright ?,WHERE CAN I SEE THE MOVE E ACROSS THE LINE THE EXODUS OF CHARLIEY RIGHT,SearchCreativeWork
156,snips-train-10137,Show me Dangers of the Canadian Mounted,SHOW ME DANGERS OF THE CANADIAN MOUNTAIN,SearchCreativeWork
157,snips-train-10138,What is Fantasy Zone II The Tears of Opa-Opa,WHAT IS PHANTASES ZOWN TO THE TEARS OF OPA OA,SearchCreativeWork
158,snips-train-10139,Where can I watch TV series Shopping Spree,WHERE CAN I WATCH T V CERIE'S SHOPPING SPREE,SearchCreativeWork
159,snips-train-1014,add the artist Jamie T to hallie's winter music playlist,ADD THE ARTIST JMIE T TO HALLEYS WINTER MUSIC PLAYALEST,AddToPlaylist
160,snips-train-10140,Play Remains of the Day,PLAY REMAINS OF THE DAY,SearchCreativeWork
161,snips-train-10141,find the novel Make Peace Not War,FIND THE NOVEL MAKE PEACE NOT WAR,SearchCreativeWork
162,snips-train-10142,Need to find the TV series called Administrative Behavior,NEED TO FIND THE TEV SERIES CALLED ADMINISTRATIVE BEHAVIOR,SearchCreativeWork
163,snips-train-10143,find The Valentyne Suite,FIND THE VALENTINE SWEET,SearchCreativeWork
164,snips-train-10144,How do I get the game Still on It ?,HOW DO I GET THE GAME STILL ON IT,SearchCreativeWork
165,snips-train-10145,find a video game called Craters of the Sac,FIND OF IDIO GAME CALLED CRATERS OF THE SACK,SearchCreativeWork
166,snips-train-10146,Look up The Cool Cafe Cool Tape Vol. 1 video game,LOOK UP THE COOL CARFE COOL TAPE VOLUME ONE VIDIO GAME,SearchCreativeWork
167,snips-train-10147,"find Bal Ganesh 2 , a video game",FIND BALGANASHTOO OF VIDIO GAME,SearchCreativeWork
168,snips-train-10148,I want to read the saga Michael Clayton,I WANT TO READ THE SAGAM MICHAEL CLAYTON,SearchCreativeWork
169,snips-train-10149,I'd like to listen to the song The Natural Farmer,I'D LIKE TO LISTEN TO THE SONG THE NATURAL FARMER,SearchCreativeWork
170,snips-train-1015,Can you put consequences on my SOS 48 2016 playlist,CAN YOU PUT CONSEQUENCES ON MY ASO S FORTY EIGHT TWENTY SIXTEEN PLAYALIST,AddToPlaylist
171,snips-train-10150,Find Half Cut Tea .,FINE HALF CUTEE,SearchCreativeWork
172,snips-train-10151,Where can I watch the TV series The Trifecta ?,WHERE CAN I WATCH THE T V CERIES THE TRIFACTA,SearchCreativeWork
173,snips-train-10152,Play a trailer for Sencha Touch,PLAY O TRAILER FOR SANCHA TOUCH,SearchCreativeWork
174,snips-train-10153,Can you play The Wanderer and His Shadow,CAN YOU PLAY THE WANDERER AND HIS  SHADOW,SearchCreativeWork
175,snips-train-10154,show TV show named I Fell in Love with a Dead Boy,SHOW TE V SHOW NAMED I FELL IN LOVE WITH A DEAD BOY,SearchCreativeWork
176,snips-train-10155,I'd like to watch the TV show Hola Mary Lou Prom Night II,I'D LIKE TO WATCH THE T V SHOW A LAW MERRY LUP PROMNITE TOO,SearchCreativeWork
177,snips-train-10156,Get me the soundtrack from Sensation Comics .,GET ME THE SOUND TRACK FROM SENSATION COMEX,SearchCreativeWork
178,snips-train-10157,show Andy Williams Sings Steve Allen TV show,SHOW ANDY WILLIAM SING STE VALANTEE V SHOW,SearchCreativeWork
179,snips-train-10158,Find a TV series called White Bread Black Beer .,FIND A TEVI SERIES CALLED WHITE BRED BLACK BEER,SearchCreativeWork
180,snips-train-10159,Find the video game Journal of Criminal Law & Criminology .,FIND THE VIDIO GAME JOURNAL OF CRIMINAL LAW AND CRIMINOLOGY,SearchCreativeWork
181,snips-train-1016,Can you add some Tommie Sunshine to my chill out playlist,CAN YOU ADD SOME TALMY SUNSHINE TO MY CHILL OUTPLAYOLEST,AddToPlaylist
182,snips-train-10160,Show The Last Tightrope Dancer in Armenia television show,SHOW THE LAST TIHT TROPE DANCER IN OURMENIATELEVISION SHOW,SearchCreativeWork
183,snips-train-10161,I'd like to see the picture Chrome Dreams,I'D LIKE TO SEE THE PICTURE CROME DREAMS,SearchCreativeWork
184,snips-train-10162,show creativity of Adobe AIR,SHOW CREATIVITY OF A DAUBIERE,SearchCreativeWork
185,snips-train-10163,Show me The Heart Specialist,SHOW ME THE HEART SPECIALIST,SearchCreativeWork
186,snips-train-10164,"find American Psychologist , a game",FIND AMERICAN PSYCHOLOGIST A GAME,SearchCreativeWork
187,snips-train-10165,play the television show Tears Laid in Earth,PLAY THE TELEVISION SHOW TYRRORS LAID IN EARTH,SearchCreativeWork
188,snips-train-10166,can you get me the television show called Start It Up ?,CAN YOU GET ME THE TELEVISION SHOW COLD START IT UP,SearchCreativeWork
189,snips-train-10167,Can I buy the book Vacation of Petrov and Vasechkin online?,AN I BUY THE BOOK VACATION OF PETROV AND VESECHKINON LINE,SearchCreativeWork
190,snips-train-10168,show video game name Find the Colour,SHOVIDIO GAME NAME FIND THE COLOR,SearchCreativeWork
191,snips-train-10169,Find the novel Peace Arch News,FIND THE NOVEL PIECE ARCHNEWS,SearchCreativeWork
192,snips-train-1017,add naomi schemer to my Hanging Out and Relaxing,ADD NEOME SCHEME OR TO MY HANGING OUT UNRELAXING,AddToPlaylist
193,snips-train-10170,"Can you find me the game , Super Scription of Data ?",CAN YOU FIND ME THE GAME SUPERSCRIPTION OF DATA,SearchCreativeWork
194,snips-train-10171,Where can I find the JKT48 School,WHERE CAN I FIND THE J K T FORTY EIGHT SCHOOL,SearchCreativeWork
195,snips-train-10172,Show me the TV show Have a Nice Day,SHOW ME THE T V SHOW HAVE A NICE DAY,SearchCreativeWork
196,snips-train-10173,Find Stays in Mexico .,FINE STAS IN MEXICO,SearchCreativeWork
197,snips-train-10174,Where can I purchase Wuthering Heights,WHERE CAN I PURCHASE WEATHERING HIDES,SearchCreativeWork
198,snips-train-10175,Where to get painting of The Man in the White Suit,WHERE TO GET PAINTING OF THE MAN IN THE WHITE SUIT,SearchCreativeWork
199,snips-train-10176,find TV series titled Sonata Mix Dwarf Cosmos,FINE TE V SERIOUS TITLED SONOTAMIX DWARF COSMOS,SearchCreativeWork
200,snips-train-10177,Look for All Broken Up and Dancing which is a video game,LOOK OR ALL BROKEN UP AND DANCING WHICH IS O VIDIO GAME,SearchCreativeWork
201,snips-train-10178,"find Outback Bound , a trailer",FIND OUT BACK BOUND A DRAILER,SearchCreativeWork
202,snips-train-10179,find Reproductions Songs of The Human League,FIND REPRODUCTIONS SONGS OF THE HUMAN LEAGUE,SearchCreativeWork
203,snips-train-1018,Add The Block Brochure Welcome to the Soil 6 onto my Café con Leche list,ADD THE BLOCK BROSURE WELCOME TO THE SOIL SIX UNTO MY CALFE CONLAT CHALIST,AddToPlaylist
204,snips-train-10180,I'm looking for the saga The Hardest Part,I'M LOOKING FOR THE SOGI THE HARDEST PART,SearchCreativeWork
205,snips-train-10181,Find me The Memorial,FIND ME THE MEMORIAL,SearchCreativeWork
206,snips-train-10182,Show the Three Tales album,SHOW THE THREE TALES ALBUM,SearchCreativeWork
207,snips-train-10183,Where can I watch the TV series Breed the Pain ?,WHERE CAN I WATCH THE T V CERES BREED THE PAIN,SearchCreativeWork
208,snips-train-10184,Get soundtrack of Comprehensive Knowledge Archive Network,GET SOUND TRACK OF COMPREHENSIVE KNOWLEDGE ARKIVE NETWORK,SearchCreativeWork
209,snips-train-10185,I'm looking for a picture titled Rock Painting,I'M LOOKING FOR A PICTURE TIDLE DROK PAINTING,SearchCreativeWork
