,train_index,train_sentence,kimberly_sentence,train_label
86,snips-train-10074,How can I see the TV series Mothstorm ?,HOW CAN I SEE THE T V CERIES MOTHS TORM,SearchCreativeWork
87,snips-train-10075,Where can I see the show Kind of Glue ?,WHERE CAN I SEE THE SHOW KIND OF GLUE,SearchCreativeWork
88,snips-train-10076,Is it possible to find the book Live in Europe online?,IS IT POSSIBLE TO FIND THE BULK LIVE IN EUROPE ON LINE,SearchCreativeWork
89,snips-train-10077,Can you find the novel Stoneage Romeos,CAN YOU FIND THE NOVEL STONE AD ROMEOS,SearchCreativeWork
90,snips-train-10078,Play the Knockabout soundtrack,PLAY THE KNOCK ABOUT SOUND TRACK,SearchCreativeWork
91,snips-train-10079,show me a picture of Nokia Football Crazy,SHOW ME A PICTURE OF NOCHIA FOOTBALL CRAZY,SearchCreativeWork
92,snips-train-1008,Add Sam Moran music to my tgif playlist,ADD SAMURAN MUSIC TO MY T G I F PLAYLIST,AddToPlaylist
93,snips-train-10080,Where can I download the game Miss Robin Hood,WHERE CAN I DOWNLOAD THE GAME MISS ROBIN HOOD,SearchCreativeWork
94,snips-train-10081,find the trailer Platinum In Da Ghetto,FIND THE TRILOR PLATIN AMENDAGETTO,SearchCreativeWork
95,snips-train-10082,I want the movie Perseo Miranda and his Theatre,I WANT THE MOVI PERSEO MIRANDA AND HIS THEATRE,SearchCreativeWork
96,snips-train-10083,I need the book titled Lullaby of Broadway,I NEED THE BOOK TITLED LULLA BY A BROAD WAY,SearchCreativeWork
97,snips-train-10084,"Where can I see the television show , Jimmy Two-Shoes ?",WHERE CAN I SEE THE TELEVIJAN SHO JIMMIE TWO SHOES,SearchCreativeWork
98,snips-train-10085,Find a photograph called Cold Weather .,FIND A PHOTOGRAPH CALLED COLD WEATHER,SearchCreativeWork
99,snips-train-10086,"find Long Walk to Forever , a novel",FIND LONG WALK TO FOREVER A NOVEL,SearchCreativeWork
100,snips-train-10087,Find Head Start,FINE HEAD START,SearchCreativeWork
101,snips-train-10088,Show me the novel All I Need to Know,SHOW ME THE NOVEL ALL I NEED TO KNOW,SearchCreativeWork
102,snips-train-10089,Can I see the the TV series The Late Music ?,CAN I SEE THE THE T V CERIES THE LATE MUSIC,SearchCreativeWork
103,snips-train-1009,add this album by Bruce Dickinson onto top entrevistas my playlist,ADD THE SALBUM BY BRUCE TICKENSON ON TO TOPANTRE VIESTUS MY PLAY LEST,AddToPlaylist
104,snips-train-10090,I'd like to see Jack,I'D LIKE TO SEE JACK,SearchCreativeWork
105,snips-train-10091,Find The Madwoman in the Attic .,FIND THE MADWOMAN IN THE ATTIC,SearchCreativeWork
106,snips-train-10092,Where can I see the show Latin for Lovers ?,WHERE CAN I SEE THE SHOW LATIN FOR LOVERS,SearchCreativeWork
107,snips-train-10093,What is Marty Stuart discography,WHAT IS MARDY STUART DISCOGRAPHI,SearchCreativeWork
108,snips-train-10094,Search for the Halfway Home TV show,SEARCH FFOR THE HALF WAY HOME TE V SHOW,SearchCreativeWork
109,snips-train-10095,play The Nubians of Plutonia trailer,PLAY THE NUBIANS OF PLUTONIA TRELER,SearchCreativeWork
110,snips-train-10096,Look up the game called The Long Morrow,LOOK UP THE GAME CALLED THE LONG MORROW,SearchCreativeWork
111,snips-train-10097,find the soundtrack titled This Side of Paradise,FIND THE SOUND TRACK TITLED THIS SIDE OF PARADISE,SearchCreativeWork
112,snips-train-10098,Show Panic in the Streets,SHOWBANICK IN THE STREETS,SearchCreativeWork
113,snips-train-10099,Find Make Your Play,FINE MAKE YOUR PLAY,SearchCreativeWork
114,snips-train-101,Add to my verano list a song by andy lee,ADD TO MY VERO NOLEST A SONG BYAN BE LEE,AddToPlaylist
115,snips-train-1010,edit Top 100 Indie Tracks on Spotify playlist by adding Smokefree RockQuest 2005,AT IT TOP ONE HUNDRED INDY TRACTS ON SPOT IFY PLAYLIST BY ADDING SMOKE FREE ROCK QUEST TWO THOUSAND FIVE,AddToPlaylist
116,snips-train-10100,Play The Aviation Cocktail album,PLAY THE AVIATION COCKDELALBUM,SearchCreativeWork
117,snips-train-10101,Play me the trailer for Star Control .,PLAY ME THE TRAILER FOR STAR CONTROL,SearchCreativeWork
118,snips-train-10102,Find a soundtrack called New Religion .,FIND A SOUND TRACK CALLED NEW RELIGION,SearchCreativeWork
119,snips-train-10103,find the show CarniK Con,FIND THE SHOW CARNET KON,SearchCreativeWork
120,snips-train-10104,What is the TV series in App Store,WHAT IS THE T V CERIES IN APSTOR,SearchCreativeWork
121,snips-train-10105,I'm trying to find the show Chant II,I'M TRYING TO FIND THE SHOW CHANT TOO,SearchCreativeWork
122,snips-train-10106,Look for Global Clubbing The Netherlands .,LOOK FOR GLOBEILL CLOBBING THE NETHERLANDS,SearchCreativeWork
123,snips-train-10107,"find Trauma Center New Blood , an album",FINE TROMIS UNTER NEW BLOOD ANALBUM,SearchCreativeWork
124,snips-train-10108,When is the next episode of the TV series Crossing Lines showing?,WHEN IS THE NEXT EPISODE OF THE T V CERIES CROSSING LINE SHOWING,SearchCreativeWork
125,snips-train-10109,find Unfinished portrait of General Bonaparte,FIND UNFINISHED PORTRAIT OF GENERAL BONAPARTE,SearchCreativeWork
126,snips-train-1011,add nour mhanna to workday lounge,AD NORMAHANNA TO WORK DAY LOUNGE,AddToPlaylist
127,snips-train-10110,How to get saga Stronda Style,HOW TO GET SUGGISH DRAW INTO STYLE,SearchCreativeWork
128,snips-train-10111,Could I download Chavez Inside the Coup ?,COULD DIE DOWNLOAD CHAVIZ INSIDE THE COO,SearchCreativeWork
129,snips-train-10112,Find a TV show called Directions Home .,FIND A T V SHO CALLED DIRECTIONS HOME,SearchCreativeWork
130,snips-train-10113,Where can I find Richard the Lionheart Rebellion ?,WHERE CAN I FIND RICHARD THE LION HEART REBELLION,SearchCreativeWork
131,snips-train-10114,I'd like to find the book called The Years,I'D LIKE TO FIND THE BOOK CALLED THE YEARS,SearchCreativeWork
132,snips-train-10115,show creativity of Diamonds in the Rough,SHOW CREATIVITY OF DIAMONDS IN THE ROFG,SearchCreativeWork
133,snips-train-10116,find information about the album Flipper City,FIND INFORMATION ABOUT THE ALBAM FLIPPER CITY,SearchCreativeWork
134,snips-train-10117,Where can I find the soundtrack for Steamboat Bill ?,WHERE CAN I FIND THE SOUND TRACK FOR STEAMBOAT BILL,SearchCreativeWork
135,snips-train-10118,"find Playground , a book",FINE PLAY GROUND A BOOK,SearchCreativeWork
136,snips-train-10119,find me a game called Merle Haggard Presents His 30th Album,FIND ME A GAME CALLED MERLE HAGGARD PRESENTS HIS THIRTIETH ALBUM,SearchCreativeWork
137,snips-train-1012,Add this artist to piano chill,ADD THIS ARTIST TO PIANO CHILL,AddToPlaylist
138,snips-train-10120,Where is the TV show Am Universum,WHEREIS THE TI VISHO AMUNE VERSOM,SearchCreativeWork
139,snips-train-10121,book of Two for the Road,BOOK OF TWO FOR THE ROAD,SearchCreativeWork
140,snips-train-10122,look for the creative work The Testament of Gideon Mack,LOOK FOR THE CREATIVE WORK THE TESTAMENT OF GIDEON MAC,SearchCreativeWork
141,snips-train-10123,find the photograph The Air Is on Fire Soundscape,FIND THE PHOTOGRAPH THE AIR IS ON FIRE SOUND SCAPE,SearchCreativeWork
142,snips-train-10124,Want a work called Walk the River,WHAT A WORK CALLED WALK THE RIVER,SearchCreativeWork
143,snips-train-10125,I want to watch the TV show Official Detective,I WANT TO WATCH THE T V SHOW OFFICIAL DETECTIVE,SearchCreativeWork
144,snips-train-10126,find the album Biology Today An Issues Approach,FIND THE ALBUM BIOLOGY TO DAY AN ISSUE'S APPROACH,SearchCreativeWork
145,snips-train-10127,Find a painting called Thunder in the Sky .,FIND A PAINTING CALLED THUNDER IN THE SKY,SearchCreativeWork
146,snips-train-10128,Look for the Itv.com song,LOOK FOR THE I TE VE COME SONG,SearchCreativeWork
147,snips-train-10129,find the television show Birth of the Cool,FIND THE TELEVISION SOW BIRTH OF THE COOL,SearchCreativeWork
148,snips-train-1013,put this tune on my playlist technical&brutal death metal,PUT THIS TUNE ON MY PLAYLESS TECHNICAL AND BRUTAL DEATH METAL,AddToPlaylist
149,snips-train-10130,find the TV series Treeful of Starling,FINE THE T V SERIES TREEFULL OF STARLING,SearchCreativeWork
150,snips-train-10131,find a painting called Songs from Tsongas,FIND A PAINTING CALLED SONGS FROM SONGESHS,SearchCreativeWork
151,snips-train-10132,Where can I view the picture of Workin’ with the Miles Davis Quintet,WHERE CAN I VIEW THE PICTURE OF WORKIN WITH THE MILES DAVIS QUINTET,SearchCreativeWork
152,snips-train-10133,Show me the Landing at Low Tide painting,SHOW ME THE LANDING AT LOW TIDE PAINTING,SearchCreativeWork
153,snips-train-10134,Find a photograph called Call on Me .,FIND A PHOTOGRAPH CALLED CALL ON ME,SearchCreativeWork
154,snips-train-10135,Please look up The Immortals television show .,PLEASE LOOK UP THE IMMORTALS TELAVISION SHOW,SearchCreativeWork
155,snips-train-10136,Where can I see the movie Across the Line The Exodus of Charlie Wright ?,WHERE CAN I SEE THE MOVIE ACROSS THE LINE THE EXODUS OF CHARLEY RIGHT,SearchCreativeWork
156,snips-train-10137,Show me Dangers of the Canadian Mounted,SHOW ME DANGERS OF THE CANADIAN MOUNTED,SearchCreativeWork
157,snips-train-10138,What is Fantasy Zone II The Tears of Opa-Opa,WHAT IS PANTASE ZONE TO THE TEARS OF OPA OPA,SearchCreativeWork
158,snips-train-10139,Where can I watch TV series Shopping Spree,WHERE CAN I WATCH T V CERE'S SHOPPING SPREE,SearchCreativeWork
159,snips-train-1014,add the artist Jamie T to hallie's winter music playlist,ADD THE ARTIST JMIE T TO HALLY'S WINTER MUSIC PLAY LIST,AddToPlaylist
160,snips-train-10140,Play Remains of the Day,PLAY REMAINS OF THE DAY,SearchCreativeWork
161,snips-train-10141,find the novel Make Peace Not War,FIND THE NOVEL MAKE PEACE NOT WAR,SearchCreativeWork
162,snips-train-10142,Need to find the TV series called Administrative Behavior,NEED TO FIND THE T V CERIES CALLED ADMINISTRATIVE BEHAVIOR,SearchCreativeWork
163,snips-train-10143,find The Valentyne Suite,FIND THE MALENTINE SWEET,SearchCreativeWork
164,snips-train-10144,How do I get the game Still on It ?,HOW DO I GET THE GAMES STILL ON IT,SearchCreativeWork
165,snips-train-10145,find a video game called Craters of the Sac,FIND OF IDIO GAME CALLED CRATERS OF THE SACK,SearchCreativeWork
166,snips-train-10146,Look up The Cool Cafe Cool Tape Vol. 1 video game,LOOK UP THE COOL CAFE COOL TAPE VOLUME ONE VIDIO GAME,SearchCreativeWork
167,snips-train-10147,"find Bal Ganesh 2 , a video game",FINE BALGANASH TOO O VIDIO GAME,SearchCreativeWork
168,snips-train-10148,I want to read the saga Michael Clayton,I WANT TO READ THE SAGA MICHAEL CLAYTON,SearchCreativeWork
169,snips-train-10149,I'd like to listen to the song The Natural Farmer,I'D LIKE TO LISTEN TO THE SONG THE NATURAL FARMER,SearchCreativeWork
170,snips-train-1015,Can you put consequences on my SOS 48 2016 playlist,CAN YOU PUT CONSEQUENCES ON MYASO S FORTY EIGHT TWENTY SIXTEEN PLAY LIST,AddToPlaylist
171,snips-train-10150,Find Half Cut Tea .,FIND HALF CUT TEA,SearchCreativeWork
172,snips-train-10151,Where can I watch the TV series The Trifecta ?,WHERE CAN I WATCH THE T V SERIES THE TRIPHECTA,SearchCreativeWork
173,snips-train-10152,Play a trailer for Sencha Touch,PLAY A TRAILER FOR SANCHA TOUCH,SearchCreativeWork
174,snips-train-10153,Can you play The Wanderer and His Shadow,CAN YOU PLAY THE WANDERER AND HIS SHADOW,SearchCreativeWork
175,snips-train-10154,show TV show named I Fell in Love with a Dead Boy,SHOW T V SHOW NAMED I FELL IN LOVE WITH A DEAD BOY,SearchCreativeWork
176,snips-train-10155,I'd like to watch the TV show Hola Mary Lou Prom Night II,I'D LIKE TO WATCH THE T V SHO OLA MERRY LU PROM NIGHT TOO,SearchCreativeWork
177,snips-train-10156,Get me the soundtrack from Sensation Comics .,GET ME THE SOUND TRACK FROM SENSATION COMMEX,SearchCreativeWork
178,snips-train-10157,show Andy Williams Sings Steve Allen TV show,SHOW ANDY WILLIAMS SING STE VALANTE V SHOW,SearchCreativeWork
179,snips-train-10158,Find a TV series called White Bread Black Beer .,FIND A TE V CERIES CALLED WHITE BRED BLACKBEAR,SearchCreativeWork
180,snips-train-10159,Find the video game Journal of Criminal Law & Criminology .,FIND THE VIDIO GAME JOURNAL OF CRIMINAL LAW AND CRIMINOLOGY,SearchCreativeWork
181,snips-train-1016,Can you add some Tommie Sunshine to my chill out playlist,CAN YOU ADD SOME TAMY SUNSHINE TO MY CHILL OUT PLAYLEST,AddToPlaylist
182,snips-train-10160,Show The Last Tightrope Dancer in Armenia television show,SHOW THE LAST TIGHT ROPE DANCER IN OUR MEAN ETELOVISION SHOW,SearchCreativeWork
183,snips-train-10161,I'd like to see the picture Chrome Dreams,I'D LIKE TO SEE THE PICTURE CHROME DREAMS,SearchCreativeWork
184,snips-train-10162,show creativity of Adobe AIR,SHOW CREATIVITY OF A DAUBIERE,SearchCreativeWork
185,snips-train-10163,Show me The Heart Specialist,SHOW ME THE HEART SPACIALIST,SearchCreativeWork
186,snips-train-10164,"find American Psychologist , a game",FIND AMERICAN PSYCHOLOGIST A GAME,SearchCreativeWork
187,snips-train-10165,play the television show Tears Laid in Earth,PLAY THE TELEVASONJOTE HERE'S LAID IN EARTH,SearchCreativeWork
188,snips-train-10166,can you get me the television show called Start It Up ?,CAN YOU GET ME THE TELEVISION SHO CALLED STARTIT UP,SearchCreativeWork
189,snips-train-10167,Can I buy the book Vacation of Petrov and Vasechkin online?,CAN I BUY THE BOOK VACATION OF PATROV ENVISECHKA NON LINE,SearchCreativeWork
190,snips-train-10168,show video game name Find the Colour,SHOVIDIAL GAME NAME FIND THE COLOR,SearchCreativeWork
191,snips-train-10169,Find the novel Peace Arch News,FIND THE NOVEL PIECE ARCH NEWS,SearchCreativeWork
192,snips-train-1017,add naomi schemer to my Hanging Out and Relaxing,AD NEOME SCHEMER TO MY HANGING OUT AND RELAXING,AddToPlaylist
193,snips-train-10170,"Can you find me the game , Super Scription of Data ?",CAN YOU FIND ME THE GAME SUPERSCRIPTION OF DATA,SearchCreativeWork
194,snips-train-10171,Where can I find the JKT48 School,WHERE CAN I FIND THE JK E T FORTY EIGHT SCHOOL,SearchCreativeWork
195,snips-train-10172,Show me the TV show Have a Nice Day,SHOW ME THE TE V SHOW HAVE A NICE DAY,SearchCreativeWork
196,snips-train-10173,Find Stays in Mexico .,FINE STAYS IN MEXICO,SearchCreativeWork
197,snips-train-10174,Where can I purchase Wuthering Heights,WHERE CAN I PURCHASE WATHERING HEIGHTS,SearchCreativeWork
198,snips-train-10175,Where to get painting of The Man in the White Suit,WHERE TO GET PAINTING OF THE MAN IN THE WHITE SUIT,SearchCreativeWork
199,snips-train-10176,find TV series titled Sonata Mix Dwarf Cosmos,FINE TE V CERIES TITLED SONATA MIXED DWARF COSMOS,SearchCreativeWork
200,snips-train-10177,Look for All Broken Up and Dancing which is a video game,LOOK FOR ALL BROKEN UP AND DANCING WHICH IS OF VIDIO GAME,SearchCreativeWork
201,snips-train-10178,"find Outback Bound , a trailer",FIND OUT BACK BOUND ADRAILER,SearchCreativeWork
202,snips-train-10179,find Reproductions Songs of The Human League,FIND REPRODUCTION SONGS OF THE HUMAN LEAGUE,SearchCreativeWork
203,snips-train-1018,Add The Block Brochure Welcome to the Soil 6 onto my Café con Leche list,ADD THE BLOCK BRO SURE WELCOME TO THE SOIL SIX UNTO MY CALFA CONLECHAELIST,AddToPlaylist
204,snips-train-10180,I'm looking for the saga The Hardest Part,I'M LOOKING FOR THE SAGA THE HARDEST PART,SearchCreativeWork
205,snips-train-10181,Find me The Memorial,FIND ME THE MEMARIAL,SearchCreativeWork
206,snips-train-10182,Show the Three Tales album,SHOW THAT THREE TALES ALBAM,SearchCreativeWork
207,snips-train-10183,Where can I watch the TV series Breed the Pain ?,WHERE CAN I WATCH THE T V CERIES BREED THE PAIN,SearchCreativeWork
208,snips-train-10184,Get soundtrack of Comprehensive Knowledge Archive Network,GETS SOUND TRACK OF COMPREHENSIVE KNOWLEDGE AR KIVE NETWORK,SearchCreativeWork
