,train_index,train_sentence,joey_sentence,train_label
105,snips-train-10091,Find The Madwoman in the Attic .,FINDS THE MADWOMAN IN THE ATTIC,SearchCreativeWork
106,snips-train-10092,Where can I see the show Latin for Lovers ?,WHERE CAN I SEE THE SHOW LADIN FOR LOVERS,SearchCreativeWork
107,snips-train-10093,What is Marty Stuart discography,WHAT IS MARDE STUART DESCOGRAPHY,SearchCreativeWork
108,snips-train-10094,Search for the Halfway Home TV show,SEARCH FOR THE HALF WAY HOME T V SHOW,SearchCreativeWork
109,snips-train-10095,play The Nubians of Plutonia trailer,PLAY THE NUBIANS OF BUTONIA DRAILER,SearchCreativeWork
110,snips-train-10096,Look up the game called The Long Morrow,LOOK UP THE GAME CALLED THE LANG MARE,SearchCreativeWork
111,snips-train-10097,find the soundtrack titled This Side of Paradise,FIND THE SOUND TRACK TITLE THIS SIDE OF PARADISE,SearchCreativeWork
112,snips-train-10098,Show Panic in the Streets,SHOPINICIN THE STREETS,SearchCreativeWork
113,snips-train-10099,Find Make Your Play,FIND MAKE YOUR PLAYIN,SearchCreativeWork
114,snips-train-101,Add to my verano list a song by andy lee,ADD TO MY VERONOMISTE SONG BY ANDY LEE,AddToPlaylist
115,snips-train-1010,edit Top 100 Indie Tracks on Spotify playlist by adding Smokefree RockQuest 2005,AT A TOP ONE HUNDRED EMBY TRACKS ON SPOT FIVE PLAYLIST BY ADDING SMOKE FREE ROCK QUEST TWO THOUSAND FIVE,AddToPlaylist
116,snips-train-10100,Play The Aviation Cocktail album,PLAY TE AGIATION COCKTAI ALBO,SearchCreativeWork
117,snips-train-10101,Play me the trailer for Star Control .,PLAIN ME THE TRAILER FOR STAR CONTROL,SearchCreativeWork
118,snips-train-10102,Find a soundtrack called New Religion .,FIND A SOUND TRACK CALLED NEW RELIGION,SearchCreativeWork
119,snips-train-10103,find the show CarniK Con,FIND THE SHOKONI KAN,SearchCreativeWork
120,snips-train-10104,What is the TV series in App Store,WHAT IS THE T V C REASON ABSTORM,SearchCreativeWork
121,snips-train-10105,I'm trying to find the show Chant II,I'M TRYING TO FIND THIS SURE CHANT TOO,SearchCreativeWork
122,snips-train-10106,Look for Global Clubbing The Netherlands .,LOOK FOR GLOBELL CORBING THE NETHERLANDS,SearchCreativeWork
123,snips-train-10107,"find Trauma Center New Blood , an album",FINDS TRALMISS UNTER NUN BLOOD INALVEL,SearchCreativeWork
124,snips-train-10108,When is the next episode of the TV series Crossing Lines showing?,WHENE IS THE NEXT EPISODE OF THE T V CERIES CROSSING LINES SHOWING,SearchCreativeWork
125,snips-train-10109,find Unfinished portrait of General Bonaparte,FIND UNFINISHED PORTRAIT OF GENERAL BONEPARTE,SearchCreativeWork
126,snips-train-1011,add nour mhanna to workday lounge,AND NERMHANNAH TO WORK DAY LOUNGE,AddToPlaylist
127,snips-train-10110,How to get saga Stronda Style,HOW TO GET SONG OR STRON TO STYLE,SearchCreativeWork
128,snips-train-10111,Could I download Chavez Inside the Coup ?,COULD I DOWN THOUG CHARVELISINSIDE THE COUP,SearchCreativeWork
129,snips-train-10112,Find a TV show called Directions Home .,FIND A T V SO CALLED DIRECTIONS HOME,SearchCreativeWork
130,snips-train-10113,Where can I find Richard the Lionheart Rebellion ?,WHERE CAN I FIND RICHARD TE MIN HARDE ROBELLION,SearchCreativeWork
131,snips-train-10114,I'd like to find the book called The Years,I'D LIKE TO FIND A BOOK CALL BEERS,SearchCreativeWork
132,snips-train-10115,show creativity of Diamonds in the Rough,SHOAL CREATIVITY OF DIAMONDS AN THE ROUGH,SearchCreativeWork
133,snips-train-10116,find information about the album Flipper City,FIND INFORMATION ABOUT THE ALBOM FLIPPERCITI,SearchCreativeWork
134,snips-train-10117,Where can I find the soundtrack for Steamboat Bill ?,WORKIN I FIND THE SOUND TRACK FOR STEAMBOAT BILL,SearchCreativeWork
135,snips-train-10118,"find Playground , a book",FINED PLAY GROUND A BOOK,SearchCreativeWork
136,snips-train-10119,find me a game called Merle Haggard Presents His 30th Album,FIND MY A GAME CALLED MERL HYGARD PRESENTS HIS THIRTIETH ALBOW,SearchCreativeWork
137,snips-train-1012,Add this artist to piano chill,ADD THIS ORDESS TO PIANO CHILL,AddToPlaylist
138,snips-train-10120,Where is the TV show Am Universum,WHERE IS THE T V SHO MNY VERSUN,SearchCreativeWork
139,snips-train-10121,book of Two for the Road,BECKIF TWO FORDEUAN,SearchCreativeWork
140,snips-train-10122,look for the creative work The Testament of Gideon Mack,YOK FOR THE CREATIVE WORK THE TESTAMENT OF GIDIAN MAC,SearchCreativeWork
141,snips-train-10123,find the photograph The Air Is on Fire Soundscape,FIND THE PHOTOGRAPH THE AIR IS ON FIRE SOUND SCAPE,SearchCreativeWork
142,snips-train-10124,Want a work called Walk the River,THE ANCENT WANK CA NAXE RIVER,SearchCreativeWork
143,snips-train-10125,I want to watch the TV show Official Detective,I WANT TO WATCH THE K V SHOW OFFICIAL DETECTIVE,SearchCreativeWork
144,snips-train-10126,find the album Biology Today An Issues Approach,FIND THE ALBUM BIOLOGY TO DAY IN ISSUE'S APPROACH,SearchCreativeWork
145,snips-train-10127,Find a painting called Thunder in the Sky .,FIND A PAINTING CALLED THUNDER IN THE SKY,SearchCreativeWork
146,snips-train-10128,Look for the Itv.com song,LOOK FOR THE I TE TEE COME SONG,SearchCreativeWork
147,snips-train-10129,find the television show Birth of the Cool,FIND THE TELIVISION SHOW BIRTH OF THE COOL,SearchCreativeWork
148,snips-train-1013,put this tune on my playlist technical&brutal death metal,PUT THISTIN ON MY PLOULESS TECHNICAL AND BRUTAL DEATH METAL,AddToPlaylist
149,snips-train-10130,find the TV series Treeful of Starling,FIND THE T V ERIES TREE FULL OF STARLING,SearchCreativeWork
150,snips-train-10131,find a painting called Songs from Tsongas,FIND E PAINTING CALLED SONGS FROM SONGBUS,SearchCreativeWork
151,snips-train-10132,Where can I view the picture of Workin’ with the Miles Davis Quintet,WHERE CAN I VIEW THE PICTURE OF WORKING WITH THE MILES DAVIS QUINTEUT,SearchCreativeWork
152,snips-train-10133,Show me the Landing at Low Tide painting,SHOW ME THE LANDING AT LOW TIDE PAINTING,SearchCreativeWork
153,snips-train-10134,Find a photograph called Call on Me .,FIND A PHOTOGRAPH CALLED CALL ON ME,SearchCreativeWork
154,snips-train-10135,Please look up The Immortals television show .,PLEASE LOOK UP THE IMMORTAL'S TELAVISION SHOW,SearchCreativeWork
155,snips-train-10136,Where can I see the movie Across the Line The Exodus of Charlie Wright ?,WHERE AN I SEE THE MOVE YE CROSS THE LINE THE EXIDUS OF CHARLEY RIGHT,SearchCreativeWork
156,snips-train-10137,Show me Dangers of the Canadian Mounted,SHOW ME DANGERS OF A CANADIAN MOUNTED,SearchCreativeWork
157,snips-train-10138,What is Fantasy Zone II The Tears of Opa-Opa,WHAT IS FANTASY ZON TO THE TEARS OF ROPAOPA,SearchCreativeWork
158,snips-train-10139,Where can I watch TV series Shopping Spree,WERKING I WATCHED HE V CIRYS SHOPPING SPREE,SearchCreativeWork
159,snips-train-1014,add the artist Jamie T to hallie's winter music playlist,ADD THE ARTIST JAMIE T TO HOW HE'S WINTER MUSIC PLAYLIST,AddToPlaylist
160,snips-train-10140,Play Remains of the Day,OY REMAINS OF THE DAY,SearchCreativeWork
161,snips-train-10141,find the novel Make Peace Not War,FIND THE NOVEL MAKE PEACE NOT WAR,SearchCreativeWork
162,snips-train-10142,Need to find the TV series called Administrative Behavior,NEED TO FIND THE T V CRIES CALLED ADMINISTRATIVE BEHAVIOR,SearchCreativeWork
163,snips-train-10143,find The Valentyne Suite,FIND THE VALENTINE SUITE,SearchCreativeWork
164,snips-train-10144,How do I get the game Still on It ?,HOW DO I GET THE GAME STILL ON IT,SearchCreativeWork
165,snips-train-10145,find a video game called Craters of the Sac,FIND A VIDIO GAME CALLED CRATERS OF THE SAC,SearchCreativeWork
166,snips-train-10146,Look up The Cool Cafe Cool Tape Vol. 1 video game,LOOK UP THE COOL CAFA COOL TAPED VOLUME ON VIDOR GAME,SearchCreativeWork
167,snips-train-10147,"find Bal Ganesh 2 , a video game",FINED BALGINECHE TO OF VIDIAL GAME,SearchCreativeWork
168,snips-train-10148,I want to read the saga Michael Clayton,I WALKED TO READ THE SOG OF MICHAEL QUATAM,SearchCreativeWork
169,snips-train-10149,I'd like to listen to the song The Natural Farmer,I'D LIKE  TO LISTEN TO THE SONG THE NATURAL FORMER,SearchCreativeWork
170,snips-train-1015,Can you put consequences on my SOS 48 2016 playlist,CAN YOU PUT CONSEQUENCES ON MY SOES FORTY EIGHT TWENTY SIXTEEN PLAYLIST,AddToPlaylist
171,snips-train-10150,Find Half Cut Tea .,FINE HALF COTEE,SearchCreativeWork
172,snips-train-10151,Where can I watch the TV series The Trifecta ?,WHERE CAN I WATCH THE T V CERIES THE TRIFACTOR,SearchCreativeWork
173,snips-train-10152,Play a trailer for Sencha Touch,PLAY A TRAILER FOR CENTU TOUCH,SearchCreativeWork
174,snips-train-10153,Can you play The Wanderer and His Shadow,CAN YOU PLAY THE WANDERER AND HIS SHADOW,SearchCreativeWork
175,snips-train-10154,show TV show named I Fell in Love with a Dead Boy,SHALL TE VE SHILL NAMED I FELL IN LOVE WITH THE DEAD BORE,SearchCreativeWork
176,snips-train-10155,I'd like to watch the TV show Hola Mary Lou Prom Night II,I'D LIKE TO WATCH THE T V SHOW OLA MERRILU PROM NIGHT TO,SearchCreativeWork
177,snips-train-10156,Get me the soundtrack from Sensation Comics .,GIVE ME THE SOUND TRACK FROM SENSATION COMICS,SearchCreativeWork
178,snips-train-10157,show Andy Williams Sings Steve Allen TV show,SHOW ANDY WILLIAM SING STE VALANT V SHOW,SearchCreativeWork
179,snips-train-10158,Find a TV series called White Bread Black Beer .,FIND A T V CERIES CALLED WHITE BRED BLACKBEAR,SearchCreativeWork
180,snips-train-10159,Find the video game Journal of Criminal Law & Criminology .,FINDS THE VIDIO GAME JOURNAL OF CRIMINAL LAW AND CRIMINOLOGY,SearchCreativeWork
181,snips-train-1016,Can you add some Tommie Sunshine to my chill out playlist,CAN YOU ADD SOME CALMY SUNSHINE TO MY CHILL OUT PLAOLIST,AddToPlaylist
182,snips-train-10160,Show The Last Tightrope Dancer in Armenia television show,SHOW THE LAST TITROPED ANSWER IN ARMENIUTELA VISION SHOW,SearchCreativeWork
183,snips-train-10161,I'd like to see the picture Chrome Dreams,I'D LIKE TO SEE THE PICTURE CHROM DREAMS,SearchCreativeWork
184,snips-train-10162,show creativity of Adobe AIR,SOL CREATIVITY OF A DOUBIARE,SearchCreativeWork
185,snips-train-10163,Show me The Heart Specialist,SHOW ME THE HEART SPECIALIST,SearchCreativeWork
186,snips-train-10164,"find American Psychologist , a game",FIND AMERICAN PSYCHOLOGIST A GAME,SearchCreativeWork
187,snips-train-10165,play the television show Tears Laid in Earth,PLAY THE TELEVISION SHOW TEARS LADIN EARTH,SearchCreativeWork
188,snips-train-10166,can you get me the television show called Start It Up ?,CAN YOU GET ME THE TELEVISION SHO CALLED STARTE TOP,SearchCreativeWork
189,snips-train-10167,Can I buy the book Vacation of Petrov and Vasechkin online?,CAN I BUY THE BOOK VACATION OF PET PROVEN VASECHKINORLINE,SearchCreativeWork
190,snips-train-10168,show video game name Find the Colour,SHOW VIDIO GAME NAME FINE THE COLLER,SearchCreativeWork
191,snips-train-10169,Find the novel Peace Arch News,FIND THE NOVEL PIECE ARCHNEWS,SearchCreativeWork
192,snips-train-1017,add naomi schemer to my Hanging Out and Relaxing,ADD MEONE SCHEMER TO MY HANGING OUT AND RELAXING,AddToPlaylist
193,snips-train-10170,"Can you find me the game , Super Scription of Data ?",CAN YOU FIND ME THE GAME SUPERSCRIPTION OF DATA,SearchCreativeWork
194,snips-train-10171,Where can I find the JKT48 School,WERK IN I FIND THE JACADE HE FORTY EIGHT SCHOOL,SearchCreativeWork
195,snips-train-10172,Show me the TV show Have a Nice Day,SHOW ME THAT HE V SHOHAV EN MY SPAR,SearchCreativeWork
196,snips-train-10173,Find Stays in Mexico .,FINE STEDS IN MEXICO,SearchCreativeWork
197,snips-train-10174,Where can I purchase Wuthering Heights,WHERE CAN MY PURCHASE WANDERING HEIGHTS,SearchCreativeWork
198,snips-train-10175,Where to get painting of The Man in the White Suit,WERE TO GET PAINTING OF THE MEN IN THE WHIFE SUIT,SearchCreativeWork
199,snips-train-10176,find TV series titled Sonata Mix Dwarf Cosmos,FONTEV SERIOUS TITLED SONOTONO MIX DWARTH COSMOS,SearchCreativeWork
200,snips-train-10177,Look for All Broken Up and Dancing which is a video game,LOOK FOR ALL BROKEN UP AND DANCING WHICH IS A VIDIAL GAME,SearchCreativeWork
201,snips-train-10178,"find Outback Bound , a trailer",FINE OUNTBACK BOUND A TRAIL,SearchCreativeWork
202,snips-train-10179,find Reproductions Songs of The Human League,FINE REPRODUCTIONS SONGS OF THE HUMAN LEAGUE,SearchCreativeWork
203,snips-train-1018,Add The Block Brochure Welcome to the Soil 6 onto my Café con Leche list,ADD THE BLOCK BRO SURE WELCOME TO THE SOIL SIX ON TO MIKE HALF A CONLAY CHAILIST,AddToPlaylist
204,snips-train-10180,I'm looking for the saga The Hardest Part,I'M LOOKING FOR THE SOG OF THE HARDEST PANT,SearchCreativeWork
205,snips-train-10181,Find me The Memorial,FIND ME THE MEMORIAL,SearchCreativeWork
206,snips-train-10182,Show the Three Tales album,SHOW THE THREE TALES ALBO,SearchCreativeWork
207,snips-train-10183,Where can I watch the TV series Breed the Pain ?,WHERE CAN I WATCH THE T V SERIOUS BREAD THE PAIN,SearchCreativeWork
208,snips-train-10184,Get soundtrack of Comprehensive Knowledge Archive Network,GET SOUND TRACT OF COMPREHENSIVE KNOWLEDGE ARKIVE NETWORK,SearchCreativeWork
209,snips-train-10185,I'm looking for a picture titled Rock Painting,I'M LOOKING FOR A PICTURE TINE OF ROCK PAINTING,SearchCreativeWork
