,train_index,train_sentence,nicole_sentence,train_label
62,snips-train-10052,"find Wild Solutions , a saga",FINE WALD SOLUTIONS ASAGA,SearchCreativeWork
63,snips-train-10053,Can i see the Boat People ?,CAN I SEE THE BOAT PEOPLE,SearchCreativeWork
64,snips-train-10054,Find The Crucible of Man Something Wicked Part 2 .,FIND THE CRUCIBLE OF MEN SOMETHING WE COULD POT TOO,SearchCreativeWork
65,snips-train-10055,Find The Passion of Michel Foucault novel,FIND THE PASSION OF MICHEL FU KERNOVEL,SearchCreativeWork
66,snips-train-10056,How can I view the show Corpus A Home Movie About Selena ?,HOW CAN I VIEW THIS SHY COPUS O HYMEVI ABOUT SELENA,SearchCreativeWork
67,snips-train-10057,Where can I find the album The Adventures of Lolo II,WHERE CAN I FIND THE ALBUM THE ADVENTURES OF LELLORTOO,SearchCreativeWork
68,snips-train-10058,I want to see Everytime We Touch which is a painting,I WANT TO SEE EVERY TIME WE TOUCH WHICH IS A PAINTING,SearchCreativeWork
69,snips-train-10059,play the TV show Iron Seed,PLAY THE T V SHOW IRON SEED,SearchCreativeWork
70,snips-train-1006,add one and only to my once upon a time playlist,ADD ON AND ONLY TO MY ONCE UPON A TIME PLAINLEST,AddToPlaylist
71,snips-train-10060,play Another Time,PLAY ANOTHER TIME,SearchCreativeWork
72,snips-train-10061,Find the Exile and the Kingdom,FIND THE EXILE AND THE KINGDOM,SearchCreativeWork
73,snips-train-10062,Where can I find a photograph of The Lieutenant of Inishmore ?,WHERE CAN I FIND A PHOTOGRAPH OF THE LEUTENANT OF INICHMONL,SearchCreativeWork
74,snips-train-10063,Find a trailer called Just Say Noël .,FIND A TRAIL ACALLED JUST SANAWILL,SearchCreativeWork
75,snips-train-10064,Hook me up with a song by Dancing Girl .,HOOK ME UP WITH THE SONG BY DANCING GIRL,SearchCreativeWork
76,snips-train-10065,find the Carrousel saga,FIND THE CARRY ZEL SAGA,SearchCreativeWork
77,snips-train-10066,Do an image search for the picture Perfect Storm Disasters That Changed The World,DO ANY IMMEADE SEARCH FOR THE PEACURE PERFECT STORM DISASTERS THAT CHANGE THE WORLD,SearchCreativeWork
78,snips-train-10067,Search for the video game The Book of Heroic Failures,SEARCH FOR THE VIDIO GAMED THE BOOK OF HEROIC FAILURES,SearchCreativeWork
79,snips-train-10068,Where can I see the trailer of Take Me to the King,WHERE CAN I SEE THE TRAILER OF TAKE ME TO THE KING,SearchCreativeWork
80,snips-train-10069,Find a saga called Story of My Life .,FIND A SAGAKOD STORY OF MY LIFE,SearchCreativeWork
81,snips-train-1007,Add this track to epic wall of sound,AT THIS TRACK TO A PIQUAL OF SOUND,AddToPlaylist
82,snips-train-10070,find a soundtrack for Dante’s Peak,FIND A SOUND TRECK THE DANTES PEAK,SearchCreativeWork
83,snips-train-10071,find a TV show called Randy Scouse Git,FIND A T V SHOW CORED RANDYSCOUSKIT,SearchCreativeWork
84,snips-train-10072,Find A World Apart .,FIND A WORD APART,SearchCreativeWork
85,snips-train-10073,Find a novel called Twins of Evil .,FIND A NOVEL CALLED TWINS OF EVIL,SearchCreativeWork
86,snips-train-10074,How can I see the TV series Mothstorm ?,OW CAN I SEE THE TAVI SERIS MOTHS TOM,SearchCreativeWork
87,snips-train-10075,Where can I see the show Kind of Glue ?,WHERE CAN I SEE THE SHOW KIND OF BLUE,SearchCreativeWork
88,snips-train-10076,Is it possible to find the book Live in Europe online?,IS IT POSSIBLE TO FIND THE BOOK LIVE IN EUROPE ON LINE,SearchCreativeWork
89,snips-train-10077,Can you find the novel Stoneage Romeos,CAN YOU FIND THE NOVELSTONE AE ROMIOS,SearchCreativeWork
90,snips-train-10078,Play the Knockabout soundtrack,PPLAY THE NOCUBAT SOUND TRACK,SearchCreativeWork
91,snips-train-10079,show me a picture of Nokia Football Crazy,SHOW ME A PEATER OF KNOCKIER FOOTBALL CRAZY,SearchCreativeWork
92,snips-train-1008,Add Sam Moran music to my tgif playlist,ADD SANT MURAN MUSIC TO MY TE G I F PLAINLIST,AddToPlaylist
93,snips-train-10080,Where can I download the game Miss Robin Hood,WHERE CAN I DOWNLEARD THE GAME MISS ROBIN HOOD,SearchCreativeWork
94,snips-train-10081,find the trailer Platinum In Da Ghetto,FIND THE TRAIL OF PLATINEM INDO GETAR,SearchCreativeWork
95,snips-train-10082,I want the movie Perseo Miranda and his Theatre,I WANT THE MAVI PERSYA MERANDA AND HIS THEATRE,SearchCreativeWork
96,snips-train-10083,I need the book titled Lullaby of Broadway,I NADE THE BOOK TATLE LALLA BY O BROADWAY,SearchCreativeWork
97,snips-train-10084,"Where can I see the television show , Jimmy Two-Shoes ?",WHERE CAN I SEE THE TELEVISION SURE JIMMY TOO SHOS,SearchCreativeWork
98,snips-train-10085,Find a photograph called Cold Weather .,FIND A PHOTOGRAPH COLD COLD WEATHER,SearchCreativeWork
99,snips-train-10086,"find Long Walk to Forever , a novel",FIND LONG WALK TO FOREVER A NOVEL,SearchCreativeWork
100,snips-train-10087,Find Head Start,FIND HEAD START,SearchCreativeWork
101,snips-train-10088,Show me the novel All I Need to Know,SHA ME THE NOVEL ALL I NEED TO NARR,SearchCreativeWork
102,snips-train-10089,Can I see the the TV series The Late Music ?,CAN I SEE THAT THE T V CIRIES THE LATE MUSIC,SearchCreativeWork
103,snips-train-1009,add this album by Bruce Dickinson onto top entrevistas my playlist,ADD THIS ALBUM BY BRUSTIKINSIGN ON TO TOP ENTRAVIS O SMY PLAILIST,AddToPlaylist
104,snips-train-10090,I'd like to see Jack,I'D LIKE TO SEE JAACK,SearchCreativeWork
105,snips-train-10091,Find The Madwoman in the Attic .,FIND THE MADWOMAN IN THE ATTIC,SearchCreativeWork
106,snips-train-10092,Where can I see the show Latin for Lovers ?,WHERE CAN I SEE THE SHIR LATIN FOR LOVERS,SearchCreativeWork
107,snips-train-10093,What is Marty Stuart discography,WHAT IS MIGHTY STUARD GYSCOGRAPHY,SearchCreativeWork
108,snips-train-10094,Search for the Halfway Home TV show,SEARCH FOR THE HALFWAY HAN T VESHAR,SearchCreativeWork
109,snips-train-10095,play The Nubians of Plutonia trailer,LAY THE NEBIUMS OF PLUTANIA TRELA,SearchCreativeWork
110,snips-train-10096,Look up the game called The Long Morrow,LOOKUT THE GAME CALLED THE LONG MORE,SearchCreativeWork
111,snips-train-10097,find the soundtrack titled This Side of Paradise,FIND THE SOUND TRACK TITLED THE SIDE OF PARADISE,SearchCreativeWork
112,snips-train-10098,Show Panic in the Streets,CHOPANIC IN THE STREETS,SearchCreativeWork
113,snips-train-10099,Find Make Your Play,IF I MAKE YOUR PLAY,SearchCreativeWork
114,snips-train-101,Add to my verano list a song by andy lee,ADD TO MY VERANO LISTOS SONG BY ANDILEE,AddToPlaylist
115,snips-train-1010,edit Top 100 Indie Tracks on Spotify playlist by adding Smokefree RockQuest 2005,EDI TOP ONE HUNDRED INDETRACTS ON SPOTIFY PLAYLESS BY ADDING SMOKE FREE ROP QUEST TWO THOUSAND AND FIVE,AddToPlaylist
116,snips-train-10100,Play The Aviation Cocktail album,PLAY THE AVIATION COCTAL ALBAM,SearchCreativeWork
117,snips-train-10101,Play me the trailer for Star Control .,PLAY ME THE TRAIL OF FE STACK CONTROL,SearchCreativeWork
118,snips-train-10102,Find a soundtrack called New Religion .,FIND A SOUND TRECK CALLED ME RELIGION,SearchCreativeWork
119,snips-train-10103,find the show CarniK Con,FIND THE SHERKANI KON,SearchCreativeWork
120,snips-train-10104,What is the TV series in App Store,WHAT IS THE CHAVY SERIESI NAPSTOLE,SearchCreativeWork
121,snips-train-10105,I'm trying to find the show Chant II,IAM TRYING TO FIND THE SHERY CHANT TOO,SearchCreativeWork
122,snips-train-10106,Look for Global Clubbing The Netherlands .,LOOK FOR GLOBEL CLUBBING THE NETHERLINDS,SearchCreativeWork
123,snips-train-10107,"find Trauma Center New Blood , an album",FINE TROMA SCENT O NEW BLOOD ANALBUM,SearchCreativeWork
124,snips-train-10108,When is the next episode of the TV series Crossing Lines showing?,WHEN IS THE NEXT EPISODE OF THE T V SERIES CROSSING LINES SHOWING,SearchCreativeWork
125,snips-train-10109,find Unfinished portrait of General Bonaparte,FIND UNFINISHED PORTRAIT OF GENERAL BONA PARTE,SearchCreativeWork
126,snips-train-1011,add nour mhanna to workday lounge,ADD NOHANNA TO WORK DAY LOUNGE,AddToPlaylist
127,snips-train-10110,How to get saga Stronda Style,HOW TO GET SAGUSTURIN TO STYLE,SearchCreativeWork
128,snips-train-10111,Could I download Chavez Inside the Coup ?,COULD I DOWNLORD CHARVEZ INSIDE THE QUI,SearchCreativeWork
129,snips-train-10112,Find a TV show called Directions Home .,FIND A T V SHOW CARLD DIRECTIONS HOME,SearchCreativeWork
130,snips-train-10113,Where can I find Richard the Lionheart Rebellion ?,WHERE CAN I FIND RICHING THE LIN HAT REBELLION,SearchCreativeWork
131,snips-train-10114,I'd like to find the book called The Years,I'D LIKE TO FIND THE BOOK FOR THE YEARS,SearchCreativeWork
132,snips-train-10115,show creativity of Diamonds in the Rough,SHOW CREATIVITY OF DIAMONDS IN THE RAFT,SearchCreativeWork
133,snips-train-10116,find information about the album Flipper City,FIND INFORMATION ABOUT THE ALBUMFLIPPACITI,SearchCreativeWork
134,snips-train-10117,Where can I find the soundtrack for Steamboat Bill ?,WHERE CAN I FIND THE SOUND TRECK THE STAINBERT BILL,SearchCreativeWork
135,snips-train-10118,"find Playground , a book",FINE PLAYGROUND A BOOK,SearchCreativeWork
136,snips-train-10119,find me a game called Merle Haggard Presents His 30th Album,FIND ME A GAME CORD MILL HAGGARD PRESENTS HIS THIRTIETH ALBUM,SearchCreativeWork
137,snips-train-1012,Add this artist to piano chill,ADD THESE ARTIST TO PIANO CIL,AddToPlaylist
138,snips-train-10120,Where is the TV show Am Universum,WHERE IS THE TE VE CHA EM UNIVESUM,SearchCreativeWork
139,snips-train-10121,book of Two for the Road,BOLK OF TEA FOR THE ROAD,SearchCreativeWork
140,snips-train-10122,look for the creative work The Testament of Gideon Mack,LOOK FOR THE CREATIVE WORK THE TESTAMENT  GIDYON MAC,SearchCreativeWork
141,snips-train-10123,find the photograph The Air Is on Fire Soundscape,FIND THE PHOTOGRAPH THE AREAS ON FIRE SOUND SCAPE,SearchCreativeWork
142,snips-train-10124,Want a work called Walk the River,ONE TO WHERE COURD WALK THE RIVER,SearchCreativeWork
143,snips-train-10125,I want to watch the TV show Official Detective,I WANT TO WATCH THE TEVE SHOW OFFICIAL DETECTIVE,SearchCreativeWork
144,snips-train-10126,find the album Biology Today An Issues Approach,FIND THE ALBAN BIOLOGY TO DAY INISISA PERCH,SearchCreativeWork
145,snips-train-10127,Find a painting called Thunder in the Sky .,FIND A PAINTING CORD THUNDER IN THE SKY,SearchCreativeWork
146,snips-train-10128,Look for the Itv.com song,LOOK FOR THE ITA A COME SONG,SearchCreativeWork
147,snips-train-10129,find the television show Birth of the Cool,FIND THE TELEVISIAN SHOW BOTH OF THE COOL,SearchCreativeWork
148,snips-train-1013,put this tune on my playlist technical&brutal death metal,PUT THIS CHIN ON MY PLAILESS TECHNICAL AND BRUCIAL DEATH METAL,AddToPlaylist
149,snips-train-10130,find the TV series Treeful of Starling,FIND THE TAVA SERIES TREEFUL OF STALLING,SearchCreativeWork
150,snips-train-10131,find a painting called Songs from Tsongas,FIND A PAINTING CORED SONGS FROM SONG GAS,SearchCreativeWork
151,snips-train-10132,Where can I view the picture of Workin’ with the Miles Davis Quintet,WHERE CAN I VIEW THE PEACHER OF WORKIN WITH THE MILES DAVIS QUINTETE,SearchCreativeWork
152,snips-train-10133,Show me the Landing at Low Tide painting,SHOW ME THE LANDING AT LOAT TIDE PAINTING,SearchCreativeWork
153,snips-train-10134,Find a photograph called Call on Me .,FIND A PHOTOGRAPH CALLD CALL ON ME,SearchCreativeWork
154,snips-train-10135,Please look up The Immortals television show .,PLEASE LOOK UP THE IMMORTALS TELEBISION SIRE,SearchCreativeWork
155,snips-train-10136,Where can I see the movie Across the Line The Exodus of Charlie Wright ?,WHERE CAN I SEE THE MEVY ACROSS THE LINE THE EXIDUS OF CHARLEY RIGT,SearchCreativeWork
156,snips-train-10137,Show me Dangers of the Canadian Mounted,SHOW ME DANGERS OF THE CANADIAN MOUNTED,SearchCreativeWork
157,snips-train-10138,What is Fantasy Zone II The Tears of Opa-Opa,WHAT IS FANTASISIGN TO THE TEES OF ROPE ARIPON,SearchCreativeWork
158,snips-train-10139,Where can I watch TV series Shopping Spree,WHERE CAN I WATCH TAVE A SERIOUS SHOPPING SPRAY,SearchCreativeWork
159,snips-train-1014,add the artist Jamie T to hallie's winter music playlist,ADD THE ARTEST JAMIE T TO HALLAYS WEN TO MUSIC PLAYLIST,AddToPlaylist
160,snips-train-10140,Play Remains of the Day,PLAY REMAINS OF THE DAY,SearchCreativeWork
161,snips-train-10141,find the novel Make Peace Not War,FIND THE NOVEL MAKE PEACE NOT WAR,SearchCreativeWork
162,snips-train-10142,Need to find the TV series called Administrative Behavior,MADE TO FIND THE TAVE SERIS CORT ADMINISTRATIVE BEHAVIO,SearchCreativeWork
163,snips-train-10143,find The Valentyne Suite,FIND THE VALENTINE SUEETE,SearchCreativeWork
164,snips-train-10144,How do I get the game Still on It ?,HOW DO I GET THE GAME STILL ON IT,SearchCreativeWork
165,snips-train-10145,find a video game called Craters of the Sac,FINDEVIDIE GAME CALLED TRATERS OF THE SACK,SearchCreativeWork
166,snips-train-10146,Look up The Cool Cafe Cool Tape Vol. 1 video game,LOOK AT THE COOL CAFA COOL TAPE VOLUME ONE VIDIO GAME,SearchCreativeWork
167,snips-train-10147,"find Bal Ganesh 2 , a video game",FINE BALGANESHTUR OFVIDIO GAME,SearchCreativeWork
168,snips-train-10148,I want to read the saga Michael Clayton,I WANT TO READ THE SAGAMICHO CLATAN,SearchCreativeWork
169,snips-train-10149,I'd like to listen to the song The Natural Farmer,I'D LIKE TO LISTEN TO THE SOME NATURAL FARMA,SearchCreativeWork
170,snips-train-1015,Can you put consequences on my SOS 48 2016 playlist,CAN YOU PUT CONSEQUENCES ON MY ESSARESS FORTY EIGHT TWENTY SIXTEEN PLAINLIST,AddToPlaylist
171,snips-train-10150,Find Half Cut Tea .,FINE HALF CUT TEA,SearchCreativeWork
172,snips-train-10151,Where can I watch the TV series The Trifecta ?,WHERE CAN I WATCH THE TAVES SERIES THE TRIFECTOR,SearchCreativeWork
173,snips-train-10152,Play a trailer for Sencha Touch,PLAY A TRELO FICENTIA TANCH,SearchCreativeWork
174,snips-train-10153,Can you play The Wanderer and His Shadow,CAN YOU PLAY THE WANDERER AND HIS SHADO,SearchCreativeWork
175,snips-train-10154,show TV show named I Fell in Love with a Dead Boy,SHERTE TH SHAR NAMED I FELL IN LOVE WITH THE DEAD BOY,SearchCreativeWork
176,snips-train-10155,I'd like to watch the TV show Hola Mary Lou Prom Night II,I'D LIKE TO WATCH THE T V SHO HOLLO MERY LUPROM NIGHT TOO,SearchCreativeWork
177,snips-train-10156,Get me the soundtrack from Sensation Comics .,GET ME THE SOUND TRACK FROM SENSATION COMIQUES,SearchCreativeWork
178,snips-train-10157,show Andy Williams Sings Steve Allen TV show,SHOWANDY WILLIAM SING STE VALANTE VEESHIRE,SearchCreativeWork
179,snips-train-10158,Find a TV series called White Bread Black Beer .,FIND A TA V SERIES CALLED WHITE BRED BLACK BEE,SearchCreativeWork
180,snips-train-10159,Find the video game Journal of Criminal Law & Criminology .,FIND THE VIDIER GAME GENAL OF CRIMINAL LAW AND CRIMINOLOGY,SearchCreativeWork
181,snips-train-1016,Can you add some Tommie Sunshine to my chill out playlist,CAN YOU HAD SOME TOMMY SUNSHINE TO MY JILL OUT PLAILEST,AddToPlaylist
182,snips-train-10160,Show The Last Tightrope Dancer in Armenia television show,SHOW THE LAST TIGHT ROPE ANCER IN ALMENIA TELOVISION CHU,SearchCreativeWork
183,snips-train-10161,I'd like to see the picture Chrome Dreams,I'D LIKE TO SEE THE PEACHYOU CHRIME DREAMS,SearchCreativeWork
184,snips-train-10162,show creativity of Adobe AIR,SHOW CREATIVITY OF E DOBIERE,SearchCreativeWork
185,snips-train-10163,Show me The Heart Specialist,SHOW ME THE HEART SPECIALIST,SearchCreativeWork
186,snips-train-10164,"find American Psychologist , a game",FIND AMERICAN PSYCHOLOGIST A GAME,SearchCreativeWork
187,snips-train-10165,play the television show Tears Laid in Earth,PLAY THE TELIVISION SHARTEES LAD IN EARTH,SearchCreativeWork
188,snips-train-10166,can you get me the television show called Start It Up ?,CEN YE GET ME THE TELEVISION SHOWCORD STARTED UP,SearchCreativeWork
189,snips-train-10167,Can I buy the book Vacation of Petrov and Vasechkin online?,AN I BUY THE BOOK VACATION OF PETROVAN VISICHKIN ON LINE,SearchCreativeWork
190,snips-train-10168,show video game name Find the Colour,CHEVIDIER GAME NAME FIND THE CULLO,SearchCreativeWork
191,snips-train-10169,Find the novel Peace Arch News,FIND THE NOVEL PESACH NEWS,SearchCreativeWork
192,snips-train-1017,add naomi schemer to my Hanging Out and Relaxing,ADD NAOMI SCEMER TO MY HANGING OUT AND RELAXING,AddToPlaylist
193,snips-train-10170,"Can you find me the game , Super Scription of Data ?",CAN YO FIND ME THE GAME SUPERSCRIPTION OF DATTO,SearchCreativeWork
194,snips-train-10171,Where can I find the JKT48 School,WHERE CAN I FIND THE J KETEE FORTY EIGHT SCHOOL,SearchCreativeWork
195,snips-train-10172,Show me the TV show Have a Nice Day,SHOW ME THE T THEE SHOW HAVE A NICE DAY,SearchCreativeWork
196,snips-train-10173,Find Stays in Mexico .,FINE STACY IN MEXICO,SearchCreativeWork
197,snips-train-10174,Where can I purchase Wuthering Heights,WHERE CAN I PURCHASE WATHERING HITES,SearchCreativeWork
198,snips-train-10175,Where to get painting of The Man in the White Suit,WHERE TO GET PAINTING OF THE MAN IN THE WHITE SUIT,SearchCreativeWork
199,snips-train-10176,find TV series titled Sonata Mix Dwarf Cosmos,FINE TEVES SERIES TITLED SENATA MIXED WOLF COSMOSS,SearchCreativeWork
200,snips-train-10177,Look for All Broken Up and Dancing which is a video game,LOOK FOR ALL BROKEN UP AND DANCING WHICH IS A VIDIO GAME,SearchCreativeWork
201,snips-train-10178,"find Outback Bound , a trailer",FIND OUT BACK BOUND ATRELA,SearchCreativeWork
202,snips-train-10179,find Reproductions Songs of The Human League,FINE REPRODUCTIONS SONGS OF THE HUMAN LEG,SearchCreativeWork
203,snips-train-1018,Add The Block Brochure Welcome to the Soil 6 onto my Café con Leche list,AD THE BLOOK BROCIA WELCOME TO THE SOIL SEEKS UNTO MY CAFE CONLECHALIST,AddToPlaylist
204,snips-train-10180,I'm looking for the saga The Hardest Part,I'M LOOKING FOR THE SIGOF THE HIDEST PART,SearchCreativeWork
205,snips-train-10181,Find me The Memorial,FIND ME THE MEMORIAL,SearchCreativeWork
206,snips-train-10182,Show the Three Tales album,SHOWED THE THREE TALES ALBUM,SearchCreativeWork
207,snips-train-10183,Where can I watch the TV series Breed the Pain ?,WHERE CAN I WATCH THE TIVE SERIES PRAD THE PAIN,SearchCreativeWork
208,snips-train-10184,Get soundtrack of Comprehensive Knowledge Archive Network,GET SOUND TRACK OF COMPREHENSIVE KNOLLI JAKAVE NETWORK,SearchCreativeWork
209,snips-train-10185,I'm looking for a picture titled Rock Painting,I'M LOOKING FOR A PECH A TIDLE ROK PAINTING,SearchCreativeWork
